"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 02- 24","92.81","92.52","100.54","91.45","872.24K","0.77%"
"2022- 02- 23","92.10","91.74","93.90","90.64","440.57K","-0.27%"
"2022- 02- 22","92.35","91.75","96.00","90.35","40.75K","-0.32%"
"2022- 02- 21","92.65","91.62","93.91","89.08","","1.12%"
"2022- 02- 20","91.62","91.22","91.74","91.08","","0.60%"
"2022- 02- 18","91.07","91.63","92.66","89.03","150.38K","-0.75%"
"2022- 02- 17","91.76","90.90","93.36","90.62","212.55K","-2.03%"
"2022- 02- 16","93.66","92.21","95.01","90.00","401.45K","1.73%"
"2022- 02- 15","92.07","94.83","95.17","90.66","442.64K","-3.55%"
"2022- 02- 14","95.46","93.91","95.82","92.09","467.07K","2.53%"
"2022- 02- 11","93.10","90.00","94.66","89.19","554.42K","3.58%"
"2022- 02- 10","89.88","90.01","91.74","89.03","492.09K","0.25%"
"2022- 02- 09","89.66","89.86","90.58","88.41","445.62K","0.34%"
"2022- 02- 08","89.36","91.64","91.68","88.51","467.39K","-2.15%"
"2022- 02- 07","91.32","91.82","92.73","90.73","497.75K","-1.07%"
"2022- 02- 04","92.31","90.19","93.17","90.07","410.93K","2.26%"
"2022- 02- 03","90.27","87.98","90.45","86.75","465.77K","2.28%"
"2022- 02- 02","88.26","88.35","89.72","87.10","456.86K","0.07%"
"2022- 02- 01","88.20","88.15","88.87","86.55","376.84K","0.06%"
"2022- 01- 31","88.15","87.45","88.39","86.34","359.08K","1.53%"
"2022- 01- 28","86.82","87.50","88.84","86.44","436.17K","0.24%"
"2022- 01- 27","86.61","87.15","88.54","86.20","427.80K","-0.85%"
"2022- 01- 26","87.35","85.26","87.95","85.01","459.64K","2.04%"
"2022- 01- 25","85.60","84.15","85.71","82.99","507.22K","2.75%"
"2022- 01- 24","83.31","84.91","86.09","81.90","511.70K","-2.15%"
"2022- 01- 21","85.14","84.57","85.56","82.78","509.10K","-2.03%"
"2022- 01- 20","86.90","86.23","87.82","86.00","30.39K","-0.07%"
"2022- 01- 19","86.96","86.61","87.91","85.77","113.15K","1.79%"
"2022- 01- 18","85.43","84.32","86.63","83.50","163.64K","2.08%"
"2022- 01- 17","83.69","83.84","83.95","82.94","","-0.17%"
"2022- 01- 16","83.83","83.78","84.09","83.68","","0.01%"
"2022- 01- 14","83.82","81.73","84.45","81.58","364.44K","2.07%"
"2022- 01- 13","82.12","82.82","82.94","81.39","364.77K","-0.63%"
"2022- 01- 12","82.64","81.38","83.10","81.17","420.62K","1.75%"
"2022- 01- 11","81.22","78.42","81.59","78.36","481.82K","3.82%"
"2022- 01- 10","78.23","78.88","79.45","77.83","389.96K","-0.85%"
"2022- 01- 07","78.90","79.62","80.47","78.52","414.43K","-0.70%"
"2022- 01- 06","79.46","77.24","80.24","76.73","476.67K","2.07%"
"2022- 01- 05","77.85","77.18","78.58","76.51","397.90K","1.12%"
"2022- 01- 04","76.99","76.02","77.64","75.70","372.85K","1.20%"
"2022- 01- 03","76.08","75.69","76.46","74.27","317.63K","1.16%"
